No.,Time,Source,Destination,Protocol,Protocol,Protocol,Protocol,,,time 1,time 2,delay,,delay 1,delay 2,jitter 
42,1.71669,192.168.43.13,204.246.164.60,TCP,TCP,TCP,TCP,,,1.71669,1.7169,0.00021,,0.00012,0.0001,-0.00002
43,1.7169,192.168.43.13,13.250.63.93,TCP,TCP,TCP,TCP,,,1.7169,1.717,0.0001,,-0.00024,0.00034,0.00058
44,1.717,192.168.43.13,13.250.63.93,TCP,TCP,TCP,TCP,,,1.717,1.71734,0.00034,,0.00021,0.00013,-0.00009
45,1.71734,192.168.43.13,13.210.193.191,TCP,TCP,TCP,TCP,,,1.71734,1.71746,0.00013,,-0.00014,0.00027,0.00041
46,1.71746,192.168.43.13,13.210.193.191,TCP,TCP,TCP,TCP,,,1.71746,1.71773,0.00027,,0.00015,0.00012,-0.00004
47,1.71773,192.168.43.13,35.213.34.3,TCP,TCP,TCP,TCP,,,1.71773,1.71785,0.00012,,-0.00027,0.00038,0.00065
48,1.71785,192.168.43.13,35.213.34.3,TCP,TCP,TCP,TCP,,,1.71785,1.71823,0.00038,,0.0003,0.00009,-0.00021
49,1.71823,192.168.43.13,103.43.90.19,TCP,TCP,TCP,TCP,,,1.71823,1.71832,0.00009,,-0.00026,0.00034,0.0006
50,1.71832,192.168.43.13,103.43.90.19,TCP,TCP,TCP,TCP,,,1.71832,1.71866,0.00034,,0.00025,0.00009,-0.00015
51,1.71866,192.168.43.13,77.88.21.119,TCP,TCP,TCP,TCP,,,1.71866,1.71875,0.00009,,-0.00015,0.00025,0.0004
52,1.71875,192.168.43.13,77.88.21.119,TCP,TCP,TCP,TCP,,,1.71875,1.719,0.00025,,0.00006,0.00019,0.00013
53,1.719,192.168.43.13,77.88.21.119,TCP,TCP,TCP,TCP,,,1.719,1.71919,0.00019,,-0.00001,0.0002,0.00021
54,1.71919,192.168.43.13,104.18.101.194,TCP,TCP,TCP,TCP,,,1.71919,1.71938,0.0002,,0.00001,0.00019,0.00018
55,1.71938,192.168.43.13,107.178.244.193,TCP,TCP,TCP,TCP,,,1.71938,1.71957,0.00019,,-0.00007,0.00026,0.00033
56,1.71957,192.168.43.13,18.141.44.70,TCP,TCP,TCP,TCP,,,1.71957,1.71983,0.00026,,0.00014,0.00012,-0.00002
57,1.71983,192.168.43.13,18.141.44.70,TCP,TCP,TCP,TCP,,,1.71983,1.71995,0.00012,,-0.00014,0.00026,0.00041
58,1.71995,192.168.43.13,18.141.44.70,TCP,TCP,TCP,TCP,,,1.71995,1.72021,0.00026,,0.00006,0.0002,0.00014
59,1.72021,192.168.43.13,43.250.0.199,TCP,TCP,TCP,TCP,,,1.72021,1.72042,0.0002,,0.00001,0.00019,0.00018
60,1.72042,192.168.43.13,172.67.74.85,TCP,TCP,TCP,TCP,,,1.72042,1.72061,0.00019,,0.00009,0.0001,0.00001
61,1.72061,192.168.43.13,103.142.124.133,TCP,TCP,TCP,TCP,,,1.72061,1.72071,0.0001,,-0.00013,0.00023,0.00035
62,1.72071,192.168.43.13,103.142.124.133,TCP,TCP,TCP,TCP,,,1.72071,1.72094,0.00023,,0.00004,0.00019,0.00015
63,1.72094,192.168.43.13,204.246.164.65,TCP,TCP,TCP,TCP,,,1.72094,1.72113,0.00019,,-0.00007,0.00026,0.00034
64,1.72113,192.168.43.13,72.21.206.140,TCP,TCP,TCP,TCP,,,1.72113,1.7214,0.00026,,0.00016,0.0001,-0.00006
65,1.7214,192.168.43.13,72.21.206.140,TCP,TCP,TCP,TCP,,,1.7214,1.7215,0.0001,,-0.00015,0.00025,0.0004
66,1.7215,192.168.43.13,72.21.206.140,TCP,TCP,TCP,TCP,,,1.7215,1.72175,0.00025,,0.00009,0.00016,0.00008
67,1.72175,192.168.43.13,103.43.90.180,TCP,TCP,TCP,TCP,,,1.72175,1.72192,0.00016,,-0.00004,0.0002,0.00024
68,1.72192,192.168.43.13,103.43.90.180,TCP,TCP,TCP,TCP,,,1.72192,1.72212,0.0002,,0.00008,0.00012,0.00004
69,1.72212,192.168.43.13,23.235.251.211,TCP,TCP,TCP,TCP,,,1.72212,1.72224,0.00012,,-0.0001,0.00022,0.00032
70,1.72224,192.168.43.13,23.235.251.211,TCP,TCP,TCP,TCP,,,1.72224,1.72247,0.00022,,0.00001,0.00021,0.00021
71,1.72247,192.168.43.13,103.231.98.194,TCP,TCP,TCP,TCP,,,1.72247,1.72268,0.00021,,0.00011,0.00011,0
